"county","population","educational_attainment","poverty_rate","pct_adults_not_working","housing_vacancy_rate","median_income_ratio","employment_change_pct","business_change_pct","distress_score","population_in_distress_count","pct_pop_in_distress","distress_rank"
"Lawrence County, MO",38310,17,18,47,11,85,-4.1,0.6,66.6,5180,14,1046
"Barry County, MI",59110,9,11,44,7,110,5.8,-2.6,16.9,0,0,2600
"Kenosha County, WI",167270,10,15,40,7,104,5.4,0.4,16.7,29690,18,2607
"Morgan County, MO",20310,20,21,58,10,72,9.3,-0.6,71.4,4680,23,897
"Isabella County, MI",70510,10,32,45,8,77,12.7,-2.7,51.2,80,0,1528
"Craighead County, AR",99840,14,22,43,9,102,5.8,3,31.9,1570,2,2130
"Stanton County, NE",6110,7,10,31,11,102,-6.1,-6.1,33.6,0,0,2077
"San Miguel County, NM",28900,18,29,58,17,63,5.1,-3.9,92,25880,90,250
"Sullivan County, PA",6400,12,15,56,7,79,1.3,-1.8,54.3,2660,42,1431
"Menominee County, MI",23840,9,15,48,8,84,9.2,-1.9,36.4,0,0,1991
"Knox County, OH",61060,13,16,43,8,100,4.6,0.3,27.1,0,0,2280
"Licking County, OH",167910,11,12,38,7,114,0.6,-1.1,18.7,2430,1,2543
"Ransom County, ND",5450,10,8,37,11,96,7,-8.5,27.6,0,0,2265
"Boone County, NE",5400,8,11,36,12,91,-9.1,-2.6,40.3,0,0,1869
"Wells County, ND",4210,16,8,42,16,81,7.3,3.8,37.3,0,0,1961
"Garden County, NE",1940,6,12,40,20,79,-2.6,-1.9,50.9,0,0,1538
"Hall County, TX",3270,29,24,54,32,63,5,-10.8,96.5,2790,85,112
"Hamilton County, TX",8330,18,12,52,21,80,-7.8,-3.7,84.1,7370,89,499
"Kidder County, ND",2430,14,9,34,5,101,18.7,10,3.4,0,0,3023
"Cerro Gordo County, IA",43710,7,14,37,5,85,-4,-1.5,27.4,0,0,2270
"Caldwell County, KY",12880,12,20,47,13,93,6.4,1.8,47,920,7,1660
"Clark County, SD",3630,10,16,38,14,97,6.3,-3.4,38.4,0,0,1929
"Deuel County, SD",4340,11,5,35,8,105,7,1.5,7.3,0,0,2902
"Hutchinson County, SD",7220,15,14,36,9,87,0,0.4,36.3,870,12,1992
"Lake County, SD",11830,7,14,34,4,100,8.8,2,4.9,0,0,2976
